train_id,sensor_type,sensor_value,threshold_value,status,unit,last_reading,location
KMRL-008,door_cycle_count,103549.0,180000.0,WARNING,cycles,2025-10-01T20:39:00.378396,CAR_1
KMRL-008,vibration_level,0.99,2.5,NORMAL,mm/s,2025-10-01T20:39:00.378400,CAR_1
KMRL-008,battery_voltage,117.61,115.0,NORMAL,V,2025-10-01T20:39:00.378403,CAR_4
KMRL-008,air_pressure,8.13,8.2,CRITICAL,bar,2025-10-01T20:39:00.378406,CAR_4
KMRL-008,wheel_wear_indicator,15.03,80.0,NORMAL,%,2025-10-01T20:39:00.378409,CAR_4
KMRL-009,brake_temperature,71.76,80.0,WARNING,°C,2025-10-01T20:39:00.378412,CAR_4
KMRL-009,motor_temperature,81.93,85.0,NORMAL,°C,2025-10-01T20:39:00.378417,CAR_4
KMRL-009,hvac_efficiency,84.07,80.0,NORMAL,%,2025-10-01T20:39:00.378420,CAR_3
KMRL-009,door_cycle_count,75628.0,180000.0,NORMAL,cycles,2025-10-01T20:39:00.378423,CAR_3
KMRL-009,vibration_level,2.25,2.5,NORMAL,mm/s,2025-10-01T20:39:00.378426,CAR_1
KMRL-009,battery_voltage,113.86,115.0,CRITICAL,V,2025-10-01T20:39:00.378429,CAR_2
KMRL-009,air_pressure,8.54,8.2,WARNING,bar,2025-10-01T20:39:00.378432,CAR_1
KMRL-009,wheel_wear_indicator,93.99,80.0,CRITICAL,%,2025-10-01T20:39:00.378435,CAR_2
KMRL-010,brake_temperature,79.08,80.0,NORMAL,°C,2025-10-01T20:39:00.378438,CAR_4
KMRL-010,motor_temperature,70.68,85.0,NORMAL,°C,2025-10-01T20:39:00.378443,CAR_3
KMRL-010,hvac_efficiency,92.91,80.0,NORMAL,%,2025-10-01T20:39:00.378446,CAR_3
KMRL-010,door_cycle_count,127335.0,180000.0,NORMAL,cycles,2025-10-01T20:39:00.378449,CAR_4
KMRL-010,vibration_level,1.59,2.5,WARNING,mm/s,2025-10-01T20:39:00.378453,CAR_3
KMRL-010,battery_voltage,117.68,115.0,NORMAL,V,2025-10-01T20:39:00.378459,CAR_2
KMRL-010,air_pressure,8.07,8.2,CRITICAL,bar,2025-10-01T20:39:00.378462,CAR_4
KMRL-010,wheel_wear_indicator,42.48,80.0,NORMAL,%,2025-10-01T20:39:00.378465,CAR_4
KMRL-011,brake_temperature,84.56,80.0,CRITICAL,°C,2025-10-01T20:39:00.378468,CAR_4
KMRL-011,motor_temperature,61.82,85.0,NORMAL,°C,2025-10-01T20:39:00.378471,CAR_2
KMRL-011,hvac_efficiency,78.81,80.0,CRITICAL,%,2025-10-01T20:39:00.378474,CAR_4
KMRL-011,door_cycle_count,113569.0,180000.0,NORMAL,cycles,2025-10-01T20:39:00.378478,CAR_4
KMRL-011,vibration_level,1.89,2.5,NORMAL,mm/s,2025-10-01T20:39:00.378481,CAR_4
KMRL-011,battery_voltage,112.2,115.0,CRITICAL,V,2025-10-01T20:39:00.378484,CAR_2
KMRL-011,air_pressure,9.44,8.2,NORMAL,bar,2025-10-01T20:39:00.378487,CAR_1
KMRL-011,wheel_wear_indicator,33.42,80.0,NORMAL,%,2025-10-01T20:39:00.378490,CAR_4
KMRL-012,brake_temperature,71.59,80.0,WARNING,°C,2025-10-01T20:39:00.378493,CAR_1
KMRL-012,motor_temperature,76.85,85.0,NORMAL,°C,2025-10-01T20:39:00.378496,CAR_4
KMRL-012,hvac_efficiency,90.92,80.0,NORMAL,%,2025-10-01T20:39:00.378499,CAR_4
KMRL-012,door_cycle_count,136690.0,180000.0,NORMAL,cycles,2025-10-01T20:39:00.378502,CAR_1
KMRL-012,vibration_level,1.05,2.5,NORMAL,mm/s,2025-10-01T20:39:00.378505,CAR_3
KMRL-012,battery_voltage,110.7,115.0,CRITICAL,V,2025-10-01T20:39:00.378509,CAR_3
KMRL-012,air_pressure,9.4,8.2,NORMAL,bar,2025-10-01T20:39:00.378512,CAR_3
KMRL-012,wheel_wear_indicator,2.81,80.0,NORMAL,%,2025-10-01T20:39:00.378515,CAR_3
KMRL-013,brake_temperature,57.58,80.0,NORMAL,°C,2025-10-01T20:39:00.378520,CAR_4
KMRL-013,motor_temperature,75.6,85.0,NORMAL,°C,2025-10-01T20:39:00.378523,CAR_4
KMRL-013,hvac_efficiency,94.33,80.0,NORMAL,%,2025-10-01T20:39:00.378526,CAR_3
KMRL-013,door_cycle_count,85872.0,180000.0,NORMAL,cycles,2025-10-01T20:39:00.378529,CAR_1
KMRL-013,vibration_level,0.74,2.5,NORMAL,mm/s,2025-10-01T20:39:00.378532,CAR_3
KMRL-013,battery_voltage,122.52,115.0,NORMAL,V,2025-10-01T20:39:00.378535,CAR_3
KMRL-013,air_pressure,9.18,8.2,NORMAL,bar,2025-10-01T20:39:00.378538,CAR_2
KMRL-013,wheel_wear_indicator,14.37,80.0,NORMAL,%,2025-10-01T20:39:00.378541,CAR_4
KMRL-014,brake_temperature,80.65,80.0,CRITICAL,°C,2025-10-01T20:39:00.378544,CAR_3
KMRL-014,motor_temperature,86.57,85.0,CRITICAL,°C,2025-10-01T20:39:00.378547,CAR_3
KMRL-014,hvac_efficiency,81.63,80.0,NORMAL,%,2025-10-01T20:39:00.378550,CAR_3
KMRL-014,door_cycle_count,58383.0,180000.0,NORMAL,cycles,2025-10-01T20:39:00.378553,CAR_4
KMRL-014,vibration_level,2.31,2.5,NORMAL,mm/s,2025-10-01T20:39:00.378556,CAR_1
KMRL-014,battery_voltage,118.19,115.0,NORMAL,V,2025-10-01T20:39:00.378559,CAR_1
KMRL-014,air_pressure,8.57,8.2,NORMAL,bar,2025-10-01T20:39:00.378562,CAR_3
KMRL-014,wheel_wear_indicator,26.48,80.0,NORMAL,%,2025-10-01T20:39:00.378565,CAR_4
KMRL-015,brake_temperature,74.71,80.0,NORMAL,°C,2025-10-01T20:39:00.378568,CAR_4
KMRL-015,motor_temperature,60.49,85.0,NORMAL,°C,2025-10-01T20:39:00.378571,CAR_3
KMRL-015,hvac_efficiency,87.54,80.0,NORMAL,%,2025-10-01T20:39:00.378574,CAR_4
KMRL-015,door_cycle_count,171115.0,180000.0,NORMAL,cycles,2025-10-01T20:39:00.378578,CAR_4
KMRL-015,vibration_level,0.85,2.5,NORMAL,mm/s,2025-10-01T20:39:00.378581,CAR_2
KMRL-015,battery_voltage,122.43,115.0,NORMAL,V,2025-10-01T20:39:00.378584,CAR_1
KMRL-015,air_pressure,8.98,8.2,NORMAL,bar,2025-10-01T20:39:00.378587,CAR_2
KMRL-015,wheel_wear_indicator,67.83,80.0,WARNING,%,2025-10-01T20:39:00.378590,CAR_3
KMRL-016,brake_temperature,79.02,80.0,NORMAL,°C,2025-10-01T20:39:00.378594,CAR_2
KMRL-016,motor_temperature,71.81,85.0,NORMAL,°C,2025-10-01T20:39:00.378597,CAR_1
KMRL-016,hvac_efficiency,89.6,80.0,NORMAL,%,2025-10-01T20:39:00.378599,CAR_1
KMRL-016,door_cycle_count,109356.0,180000.0,NORMAL,cycles,2025-10-01T20:39:00.378602,CAR_4
KMRL-016,vibration_level,2.07,2.5,WARNING,mm/s,2025-10-01T20:39:00.378605,CAR_1
KMRL-016,battery_voltage,118.22,115.0,NORMAL,V,2025-10-01T20:39:00.378608,CAR_2
KMRL-016,air_pressure,8.96,8.2,NORMAL,bar,2025-10-01T20:39:00.378611,CAR_1
KMRL-016,wheel_wear_indicator,83.49,80.0,CRITICAL,%,2025-10-01T20:39:00.378614,CAR_4
KMRL-017,brake_temperature,51.49,80.0,NORMAL,°C,2025-10-01T20:39:00.378617,CAR_1
KMRL-017,motor_temperature,60.72,85.0,NORMAL,°C,2025-10-01T20:39:00.378621,CAR_4
KMRL-017,hvac_efficiency,77.8,80.0,CRITICAL,%,2025-10-01T20:39:00.378624,CAR_3
KMRL-017,door_cycle_count,156496.0,180000.0,NORMAL,cycles,2025-10-01T20:39:00.378627,CAR_2
KMRL-017,vibration_level,1.45,2.5,NORMAL,mm/s,2025-10-01T20:39:00.378630,CAR_1
KMRL-017,battery_voltage,119.98,115.0,NORMAL,V,2025-10-01T20:39:00.378633,CAR_4
KMRL-017,air_pressure,8.17,8.2,CRITICAL,bar,2025-10-01T20:39:00.378637,CAR_3
KMRL-017,wheel_wear_indicator,59.61,80.0,NORMAL,%,2025-10-01T20:39:00.378643,CAR_4
KMRL-018,brake_temperature,53.7,80.0,NORMAL,°C,2025-10-01T20:39:00.378647,CAR_3
KMRL-018,motor_temperature,78.59,85.0,WARNING,°C,2025-10-01T20:39:00.378650,CAR_1
KMRL-018,hvac_efficiency,85.16,80.0,NORMAL,%,2025-10-01T20:39:00.378653,CAR_2
KMRL-018,door_cycle_count,90008.0,180000.0,NORMAL,cycles,2025-10-01T20:39:00.378657,CAR_1
KMRL-018,vibration_level,1.3,2.5,NORMAL,mm/s,2025-10-01T20:39:00.378660,CAR_4
KMRL-018,battery_voltage,123.51,115.0,NORMAL,V,2025-10-01T20:39:00.378663,CAR_1
KMRL-018,air_pressure,9.17,8.2,NORMAL,bar,2025-10-01T20:39:00.378666,CAR_4
KMRL-018,wheel_wear_indicator,42.2,80.0,NORMAL,%,2025-10-01T20:39:00.378669,CAR_1
KMRL-019,brake_temperature,69.98,80.0,NORMAL,°C,2025-10-01T20:39:00.378672,CAR_2
KMRL-019,motor_temperature,86.64,85.0,CRITICAL,°C,2025-10-01T20:39:00.378675,CAR_3
KMRL-019,hvac_efficiency,87.48,80.0,NORMAL,%,2025-10-01T20:39:00.378677,CAR_3
KMRL-019,door_cycle_count,91071.0,180000.0,NORMAL,cycles,2025-10-01T20:39:00.378681,CAR_1
KMRL-019,vibration_level,2.54,2.5,CRITICAL,mm/s,2025-10-01T20:39:00.378684,CAR_2
KMRL-019,battery_voltage,118.82,115.0,NORMAL,V,2025-10-01T20:39:00.378687,CAR_2
KMRL-019,air_pressure,8.56,8.2,NORMAL,bar,2025-10-01T20:39:00.378690,CAR_4
KMRL-019,wheel_wear_indicator,74.71,80.0,NORMAL,%,2025-10-01T20:39:00.378693,CAR_3
KMRL-020,brake_temperature,51.41,80.0,NORMAL,°C,2025-10-01T20:39:00.378696,CAR_1
KMRL-020,motor_temperature,82.49,85.0,NORMAL,°C,2025-10-01T20:39:00.378699,CAR_3
KMRL-020,hvac_efficiency,88.68,80.0,NORMAL,%,2025-10-01T20:39:00.378704,CAR_1
KMRL-020,door_cycle_count,119014.0,180000.0,NORMAL,cycles,2025-10-01T20:39:00.378707,CAR_3
KMRL-020,vibration_level,2.57,2.5,CRITICAL,mm/s,2025-10-01T20:39:00.378710,CAR_2
KMRL-020,battery_voltage,116.54,115.0,NORMAL,V,2025-10-01T20:39:00.378713,CAR_3
KMRL-020,air_pressure,8.2,8.2,NORMAL,bar,2025-10-01T20:39:00.378716,CAR_3
KMRL-020,wheel_wear_indicator,21.32,80.0,NORMAL,%,2025-10-01T20:39:00.378719,CAR_1
KMRL-021,brake_temperature,69.12,80.0,NORMAL,°C,2025-10-01T20:39:00.378722,CAR_1
KMRL-021,motor_temperature,63.34,85.0,NORMAL,°C,2025-10-01T20:39:00.378725,CAR_2
KMRL-021,hvac_efficiency,93.16,80.0,NORMAL,%,2025-10-01T20:39:00.378728,CAR_3
KMRL-021,door_cycle_count,181994.0,180000.0,CRITICAL,cycles,2025-10-01T20:39:00.378730,CAR_2
KMRL-021,vibration_level,2.63,2.5,CRITICAL,mm/s,2025-10-01T20:39:00.378734,CAR_3
KMRL-021,battery_voltage,121.84,115.0,NORMAL,V,2025-10-01T20:39:00.378737,CAR_2
KMRL-021,air_pressure,8.84,8.2,NORMAL,bar,2025-10-01T20:39:00.378739,CAR_2
KMRL-021,wheel_wear_indicator,53.06,80.0,NORMAL,%,2025-10-01T20:39:00.378742,CAR_3
KMRL-022,brake_temperature,45.14,80.0,NORMAL,°C,2025-10-01T20:39:00.378745,CAR_1
KMRL-022,motor_temperature,77.8,85.0,NORMAL,°C,2025-10-01T20:39:00.378748,CAR_4
KMRL-022,hvac_efficiency,84.74,80.0,WARNING,%,2025-10-01T20:39:00.378752,CAR_2
KMRL-022,door_cycle_count,126497.0,180000.0,NORMAL,cycles,2025-10-01T20:39:00.378755,CAR_1
KMRL-022,vibration_level,1.93,2.5,NORMAL,mm/s,2025-10-01T20:39:00.378758,CAR_3
KMRL-022,battery_voltage,118.42,115.0,NORMAL,V,2025-10-01T20:39:00.378762,CAR_4
KMRL-022,air_pressure,9.49,8.2,NORMAL,bar,2025-10-01T20:39:00.378766,CAR_3
KMRL-022,wheel_wear_indicator,10.24,80.0,NORMAL,%,2025-10-01T20:39:00.378769,CAR_1
KMRL-023,brake_temperature,45.68,80.0,NORMAL,°C,2025-10-01T20:39:00.378773,CAR_1
KMRL-023,motor_temperature,82.53,85.0,NORMAL,°C,2025-10-01T20:39:00.378775,CAR_2
KMRL-023,hvac_efficiency,78.63,80.0,CRITICAL,%,2025-10-01T20:39:00.378778,CAR_4
KMRL-023,door_cycle_count,116981.0,180000.0,NORMAL,cycles,2025-10-01T20:39:00.378782,CAR_2
KMRL-023,vibration_level,1.1,2.5,NORMAL,mm/s,2025-10-01T20:39:00.378785,CAR_4
KMRL-023,battery_voltage,112.98,115.0,CRITICAL,V,2025-10-01T20:39:00.378788,CAR_3
KMRL-023,air_pressure,8.11,8.2,CRITICAL,bar,2025-10-01T20:39:00.378791,CAR_3
KMRL-023,wheel_wear_indicator,52.24,80.0,NORMAL,%,2025-10-01T20:39:00.378794,CAR_2
KMRL-024,brake_temperature,62.69,80.0,NORMAL,°C,2025-10-01T20:39:00.378797,CAR_4
KMRL-024,motor_temperature,86.08,85.0,CRITICAL,°C,2025-10-01T20:39:00.378800,CAR_2
KMRL-024,hvac_efficiency,89.15,80.0,NORMAL,%,2025-10-01T20:39:00.378804,CAR_1
KMRL-024,door_cycle_count,177745.0,180000.0,NORMAL,cycles,2025-10-01T20:39:00.378808,CAR_1
KMRL-024,vibration_level,2.07,2.5,NORMAL,mm/s,2025-10-01T20:39:00.378811,CAR_4
KMRL-024,battery_voltage,113.96,115.0,CRITICAL,V,2025-10-01T20:39:00.378814,CAR_1
KMRL-024,air_pressure,8.04,8.2,CRITICAL,bar,2025-10-01T20:39:00.378817,CAR_1
KMRL-024,wheel_wear_indicator,46.75,80.0,NORMAL,%,2025-10-01T20:39:00.378820,CAR_1
KMRL-025,brake_temperature,83.7,80.0,CRITICAL,°C,2025-10-01T20:39:00.378823,CAR_2
KMRL-025,motor_temperature,84.66,85.0,NORMAL,°C,2025-10-01T20:39:00.378827,CAR_4
KMRL-025,hvac_efficiency,79.39,80.0,CRITICAL,%,2025-10-01T20:39:00.378830,CAR_3
KMRL-025,door_cycle_count,142781.0,180000.0,NORMAL,cycles,2025-10-01T20:39:00.378833,CAR_3
KMRL-025,vibration_level,1.81,2.5,NORMAL,mm/s,2025-10-01T20:39:00.378836,CAR_4
KMRL-025,battery_voltage,123.54,115.0,NORMAL,V,2025-10-01T20:39:00.378839,CAR_2
KMRL-025,air_pressure,9.46,8.2,NORMAL,bar,2025-10-01T20:39:00.378842,CAR_3
KMRL-025,wheel_wear_indicator,47.09,80.0,NORMAL,%,2025-10-01T20:39:00.378845,CAR_3
